timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1932987426,1.79097,1.85954,26.62,1.0
1932998159,1.8167,1.88625,26.6214,1.0
1933008924,1.84344,1.91399,26.6042,1.0
1933019673,1.87219,1.9439,26.6242,1.0
1933030429,1.90476,1.97769,26.6128,1.0
1933041145,1.93997,2.01422,26.6057,1.0
1933051867,1.9743,2.04985,26.6042,1.0
1933062597,2.00348,2.08022,26.6257,1.0
1933105584,2.06921,2.14842,26.6142,1.0
1933116356,2.07591,2.15533,26.5971,1.0
1933127049,2.07725,2.15672,26.5971,1.0
1933137797,2.07532,2.15488,26.64,1.0
1933427608,2.16078,2.24394,26.7262,1.0
1933438371,2.17422,2.25781,26.7119,1.0
1933449142,2.18496,2.26899,26.7177,1.0
1933459933,2.19316,2.2775,26.7177,1.0
1933470637,2.19931,2.28389,26.7191,1.0
1933481392,2.20454,2.28944,26.742,1.0
1933492096,2.21053,2.29565,26.7391,1.0
1933502787,2.21697,2.30188,26.6185,1.0
1933513478,2.22341,2.30855,26.6142,1.0
1933524167,2.23054,2.31598,26.6228,1.0
1933556514,2.24654,2.33258,26.6228,1.0
1933567239,2.24423,2.32991,26.5499,1.0
1933577948,2.23386,2.31931,26.5971,1.0
1933878348,2.27906,2.36674,26.7148,1.0
1933889039,2.268,2.35522,26.7048,1.0
1933899738,2.25528,2.34205,26.7148,1.0
1933910458,2.24105,2.32722,26.7034,1.0
1933921229,2.22555,2.31116,26.7177,1.0
1933931977,2.21041,2.29553,26.7405,1.0
1933942707,2.19685,2.28144,26.7405,1.0
1933953401,2.18112,2.26502,26.7191,1.0
1933964166,2.15764,2.24065,26.7205,1.0
1933974915,2.12456,2.2063,26.7162,1.0
1934017892,1.93558,2.00999,26.6977,1.0
1934028641,1.88039,1.95273,26.7134,1.0
1934039441,1.82238,1.89243,26.6948,1.0
1934050251,1.76338,1.83125,26.7234,1.0
1934340565,1.98282,2.05878,26.6214,1.0
1934351272,1.99914,2.07568,26.6085,1.0
1934362204,2.01147,2.08843,26.5928,1.0
1934372902,2.01947,2.09683,26.6185,1.0
1934383663,2.02501,2.10258,26.6185,1.0
1934394358,2.03025,2.1081,26.6414,1.0
1934405063,2.03609,2.11417,26.6471,1.0
1934415821,2.04414,2.1225,26.6414,1.0
1934426546,2.0559,2.13464,26.6214,1.0
1934437269,2.06512,2.14416,26.6057,1.0
1934480206,2.00592,2.08276,26.6242,1.0
1934490918,1.98106,2.05729,26.7248,1.0
1934501693,1.95369,2.02881,26.7034,1.0
1934802264,1.68904,1.75376,26.6214,1.0
1934812978,1.69063,1.75543,26.6257,1.0
1934823697,1.69225,1.75706,26.6085,1.0
1934834388,1.69108,1.75584,26.6085,1.0
1934845082,1.68762,1.75221,26.6014,1.0
1934855782,1.68499,1.74961,26.6471,1.0
1934866474,1.6862,1.75081,26.6271,1.0
1934877169,1.69194,1.75682,26.6443,1.0
1934887906,1.70121,1.76638,26.62,1.0
1934898614,1.71111,1.77668,26.6285,1.0
1934920001,1.72095,1.78684,26.6085,1.0
1934930754,1.72428,1.79032,26.6171,1.0
1934941630,1.73396,1.80039,26.6242,1.0
1934952321,1.75133,1.81836,26.6042,1.0
1935263721,2.05317,2.13181,26.6228,1.0
1935274417,2.04153,2.11973,26.6242,1.0
1935285145,2.03011,2.10788,26.6271,1.0
1935295834,2.02026,2.09764,26.6242,1.0
1935306564,2.01166,2.08871,26.6214,1.0
1935317300,2.005,2.08188,26.6485,1.0
1935328058,2.00133,2.07801,26.6271,1.0
1935338784,1.99953,2.07611,26.6214,1.0
1935349590,1.99767,2.07425,26.64,1.0
1935360314,1.99522,2.07164,26.6228,1.0
1935413986,1.9594,2.03478,26.7191,1.0
1935424721,1.94788,2.02279,26.7077,1.0
1935435465,1.93603,2.01051,26.7162,1.0
1935446252,1.92923,2.00347,26.7219,1.0
1935736250,2.11991,2.20101,26.5985,1.0
1935746984,2.11113,2.192,26.6257,1.0
1935757756,2.09977,2.18019,26.62,1.0
1935768499,2.08588,2.16569,26.5985,1.0
1935779241,2.06885,2.14845,26.7219,1.0
1935790034,2.05052,2.12944,26.7305,1.0
1935800784,2.03165,2.10975,26.7019,1.0
1935811482,2.01,2.08722,26.6919,1.0
1935822181,1.98443,2.06071,26.7048,1.0
1935832896,1.95778,2.03309,26.7205,1.0
1935854307,1.90611,1.97941,26.7034,1.0
1935865030,1.88042,1.95278,26.7191,1.0
1935875836,1.8569,1.92835,26.7177,1.0
1935886590,1.83506,1.90568,26.7234,1.0
1936176629,1.6879,1.75277,26.7019,1.0
1936187458,1.6866,1.75147,26.7191,1.0
1936198179,1.68242,1.74706,26.6934,1.0
1936208887,1.67406,1.73838,26.6948,1.0
1936219623,1.66619,1.73028,26.7191,1.0
1936230334,1.66798,1.7321,26.7005,1.0
1936241080,1.67896,1.74362,26.7391,1.0
1936251829,1.69676,1.76198,26.6977,1.0
1936262551,1.72495,1.7913,26.7105,1.0
1936273268,1.76501,1.83259,26.6114,1.0
1936305592,1.9253,1.999,26.62,1.0
1936316287,1.98227,2.05818,26.6271,1.0
1936327012,2.03314,2.11098,26.6214,1.0
1936337742,2.0739,2.15325,26.6071,1.0
1936348431,2.10399,2.18455,26.6228,1.0
1936627806,2.01768,2.09519,26.6977,1.0
1936638573,2.01726,2.09482,26.7162,1.0
1936649333,2.02786,2.10585,26.7234,1.0
1936660193,2.05107,2.12995,26.7219,1.0
1936671010,2.08333,2.16343,26.7148,1.0
1936681704,2.11954,2.20105,26.7219,1.0
1936692461,2.15746,2.24043,26.7205,1.0
1936703208,2.199,2.28364,26.7391,1.0
1936713950,2.24445,2.33082,26.7348,1.0
1936778366,2.38391,2.47562,26.7162,1.0
1936789064,2.38426,2.47596,26.7148,1.0
1936799756,2.37873,2.47017,26.7019,1.0
