timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
1580510166,15.7675,15.6022,92.588,92.6509,0.0,40668.8,0.53932,1.07677,nan,4,3.90056,3.90056,3.90056,3.90056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580520209,15.6399,15.6026,92.7052,92.652,0.0,40669.1,0.539463,1.07674,nan,4,3.90065,3.90065,3.90065,3.90065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580810201,15.7931,15.6143,92.588,92.65,0.0,40676.5,0.54395,1.07594,nan,4,3.90357,3.90357,3.90357,3.90357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580820151,15.7803,15.6159,92.6759,92.6505,0.0,40676.8,0.544583,1.07583,nan,4,3.90398,3.90398,3.90398,3.90398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580830182,15.6782,15.6165,92.6173,92.6498,0.0,40677.1,0.54482,1.07578,nan,4,3.90413,3.90413,3.90413,3.90413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580840139,15.6016,15.6164,92.6173,92.6492,0.0,40677.3,0.544763,1.07579,nan,4,3.9041,3.9041,3.9041,3.9041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580850099,15.6016,15.6162,92.588,92.648,0.0,40677.6,0.544706,1.0758,nan,4,3.90406,3.90406,3.90406,3.90406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580860196,15.5505,15.6156,92.7052,92.6491,0.0,40677.8,0.544456,1.07585,nan,4,3.9039,3.9039,3.9039,3.9039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580870098,15.742,15.6168,92.6759,92.6496,0.0,40678.1,0.544938,1.07576,nan,4,3.90421,3.90421,3.90421,3.90421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580880107,15.7165,15.6178,92.6466,92.6496,0.0,40678.3,0.545317,1.07569,nan,4,3.90446,3.90446,3.90446,3.90446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580890098,15.742,15.6191,92.6759,92.6501,0.0,40678.6,0.54579,1.07561,nan,4,3.90476,3.90476,3.90476,3.90476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580900139,15.576,15.6186,92.6173,92.6495,0.0,40678.9,0.545626,1.07564,nan,4,3.90466,3.90466,3.90466,3.90466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580940212,15.525,15.6168,92.6759,92.6498,0.0,40679.9,0.54494,1.07576,nan,4,3.90421,3.90421,3.90421,3.90421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580950099,15.3973,15.6147,92.6466,92.6497,0.0,40680.1,0.544105,1.07591,nan,4,3.90367,3.90367,3.90367,3.90367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580960099,15.5505,15.614,92.6173,92.6491,0.0,40680.4,0.54386,1.07595,nan,4,3.90351,3.90351,3.90351,3.90351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1580970107,15.576,15.6137,92.6173,92.6485,0.0,40680.7,0.543715,1.07598,nan,4,3.90341,3.90341,3.90341,3.90341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581260101,15.5505,15.6146,92.588,92.6504,0.0,40688.1,0.54408,1.07592,nan,4,3.90365,3.90365,3.90365,3.90365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581270098,15.6271,15.6147,92.6173,92.6498,0.0,40688.4,0.544127,1.07591,nan,4,3.90368,3.90368,3.90368,3.90368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581280157,15.5377,15.614,92.6759,92.6503,0.0,40688.6,0.543834,1.07596,nan,4,3.90349,3.90349,3.90349,3.90349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581290099,15.6271,15.6141,92.6466,92.6502,0.0,40688.9,0.543884,1.07595,nan,4,3.90352,3.90352,3.90352,3.90352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581300098,15.5122,15.6131,92.6759,92.6507,0.0,40689.2,0.543496,1.07602,nan,4,3.90327,3.90327,3.90327,3.90327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
