timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1110440830,-2.81114,-2.91149,25.1601,1.0
1110451581,-2.81218,-2.91264,25.1773,1.0
1110462342,-2.81174,-2.91218,25.1758,1.0
1110473100,-2.81072,-2.91114,25.1787,1.0
1110483883,-2.80911,-2.90943,25.1773,1.0
1110494571,-2.80737,-2.90757,25.163,1.0
1110505269,-2.80653,-2.90667,25.1587,1.0
1110516038,-2.80458,-2.90467,25.1615,1.0
1110526738,-2.7969,-2.89667,25.153,1.0
1110548255,-2.76659,-2.86534,25.1601,1.0
1110558981,-2.74463,-2.84259,25.1558,1.0
1110569701,-2.71715,-2.81425,25.1816,1.0
1110580477,-2.68661,-2.78249,25.1558,1.0
1110881275,-2.63258,-2.72644,25.1415,1.0
1110892041,-2.6699,-2.76516,25.1558,1.0
1110902742,-2.71146,-2.80817,25.1472,1.0
1110913518,-2.7542,-2.85258,25.1816,1.0
1110924247,-2.79302,-2.89265,25.153,1.0
1110935026,-2.82496,-2.92577,25.1601,1.0
1110945754,-2.8506,-2.9522,25.1358,1.0
1110956446,-2.87222,-2.97471,25.1615,1.0
1110967208,-2.89261,-2.99568,25.133,1.0
1110977900,-2.91328,-3.0172,25.1544,1.0
1111031715,-2.99465,-3.10163,25.1787,1.0
1111042416,-2.99528,-3.10229,25.1787,1.0
1111053191,-2.99054,-3.09717,25.1387,1.0
1111063893,-2.98264,-3.08908,25.1573,1.0
1111364452,-2.59612,-2.68861,25.1272,1.0
1111375147,-2.59463,-2.68729,25.1773,1.0
1111385994,-2.58744,-2.67982,25.173,1.0
1111396735,-2.57583,-2.6677,25.1515,1.0
1111407429,-2.56239,-2.65388,25.1744,1.0
1111418153,-2.54651,-2.63745,25.1758,1.0
1111428848,-2.52831,-2.61851,25.1558,1.0
1111439656,-2.5086,-2.59823,25.1773,1.0
1111450422,-2.48677,-2.57563,25.1801,1.0
1111461140,-2.46083,-2.54875,25.1787,1.0
1111504265,-2.36279,-2.44711,25.1587,1.0
1111514985,-2.34578,-2.42952,25.1644,1.0
1111525710,-2.33165,-2.41485,25.1558,1.0
1111536447,-2.32229,-2.40514,25.1515,1.0
1111826393,-2.8088,-2.90891,25.133,1.0
1111837088,-2.80884,-2.90906,25.1558,1.0
1111847789,-2.80516,-2.90525,25.1558,1.0
1111858510,-2.79527,-2.89496,25.1458,1.0
1111869209,-2.77898,-2.87812,25.1515,1.0
1111879947,-2.75749,-2.85574,25.1301,1.0
1111890670,-2.73165,-2.8291,25.1558,1.0
1111901398,-2.70358,-2.80004,25.1558,1.0
1111912100,-2.67809,-2.77362,25.153,1.0
1111922837,-2.65782,-2.75264,25.1544,1.0
1111955111,-2.62876,-2.72263,25.1758,1.0
1111965814,-2.62554,-2.71928,25.1744,1.0
1111976527,-2.62375,-2.71736,25.1587,1.0
1111987307,-2.62517,-2.71873,25.1301,1.0
1112276804,-2.86654,-2.96885,25.1573,1.0
1112287498,-2.87303,-2.97555,25.1558,1.0
1112298189,-2.87911,-2.98184,25.153,1.0
1112308883,-2.88258,-2.98541,25.153,1.0
1112319589,-2.88389,-2.98675,25.1487,1.0
1112330322,-2.88382,-2.98663,25.1372,1.0
1112341079,-2.87898,-2.98173,25.1615,1.0
1112351774,-2.86693,-2.96916,25.1415,1.0
1112362472,-2.84848,-2.95011,25.1544,1.0
1112373223,-2.82468,-2.92536,25.133,1.0
1112426960,-2.71207,-2.80892,25.1701,1.0
1112437719,-2.70098,-2.79746,25.1758,1.0
1112448489,-2.69165,-2.78774,25.1615,1.0
1112459188,-2.68407,-2.77998,25.1816,1.0
1112749298,-2.74381,-2.84175,25.163,1.0
1112760034,-2.73221,-2.8298,25.1758,1.0
1112770804,-2.71634,-2.81326,25.153,1.0
1112781497,-2.69864,-2.79497,25.1615,1.0
1112792189,-2.68096,-2.77664,25.1573,1.0
1112802883,-2.66472,-2.75982,25.1558,1.0
1112813574,-2.64896,-2.74347,25.1501,1.0
1112824317,-2.63239,-2.72637,25.163,1.0
1112835035,-2.6161,-2.70946,25.1558,1.0
1112888717,-2.57061,-2.66239,25.1787,1.0
1112899477,-2.56681,-2.65835,25.1573,1.0
1112910166,-2.56579,-2.65731,25.1601,1.0
1112920855,-2.56657,-2.6581,25.1558,1.0
1113199812,-2.64212,-2.73639,25.1573,1.0
1113210582,-2.63013,-2.72403,25.173,1.0
1113221273,-2.61123,-2.70447,25.1758,1.0
1113231972,-2.58801,-2.68023,25.1358,1.0
1113242665,-2.56265,-2.65406,25.1573,1.0
1113253470,-2.53729,-2.62773,25.1387,1.0
1113264250,-2.51395,-2.60355,25.1387,1.0
1113274944,-2.49251,-2.58143,25.1587,1.0
1113285681,-2.47308,-2.5613,25.1573,1.0
1113296383,-2.45857,-2.54618,25.1358,1.0
1113339403,-2.45317,-2.5408,25.1773,1.0
1113350099,-2.45679,-2.54456,25.1773,1.0
1113360891,-2.46087,-2.54884,25.1916,1.0
1113371669,-2.46701,-2.55503,25.1544,1.0
1113661442,-2.69577,-2.79194,25.1587,1.0
1113672135,-2.67802,-2.77344,25.133,1.0
1113682826,-2.65828,-2.75307,25.1487,1.0
1113693525,-2.63717,-2.73134,25.1744,1.0
1113704265,-2.61339,-2.70663,25.1558,1.0
1113714974,-2.58627,-2.67854,25.1558,1.0
1113725662,-2.55816,-2.64942,25.1544,1.0
1113736372,-2.53114,-2.62137,25.1415,1.0
1113747096,-2.50416,-2.59351,25.1587,1.0
1113800844,-2.35933,-2.44355,25.1758,1.0
1113811563,-2.33777,-2.42116,25.1573,1.0
1113822267,-2.32245,-2.40528,25.1558,1.0
1113833076,-2.31435,-2.39682,25.1358,1.0
1115067838,-2.75093,-2.84907,25.1558,1.0
1115078556,-2.75678,-2.85523,25.1773,1.0
