timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
343052060,16.0357,16.0561,92.6466,92.6495,0.0,8754.12,0.713866,1.04633,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343064058,16.1378,16.0569,92.6759,92.65,0.0,8754.43,0.714181,1.04628,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343076058,16.2527,16.0588,92.6173,92.6493,0.0,8754.74,0.714934,1.04615,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343088086,16.2144,16.0604,92.6466,92.6493,0.0,8755.05,0.715533,1.04605,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343100085,16.2144,16.0619,92.6466,92.6492,0.0,8755.36,0.716125,1.04595,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343112068,16.1633,16.0629,92.6466,92.6492,0.0,8755.67,0.716516,1.04589,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343124062,15.9718,16.062,92.6173,92.6486,0.0,8755.97,0.716165,1.04595,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343136064,15.9846,16.0613,92.6173,92.6479,0.0,8756.28,0.715868,1.046,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343148060,16.0101,16.0607,92.6173,92.6473,0.0,8756.59,0.715671,1.04603,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343160062,15.8952,16.0591,92.6466,92.6473,0.0,8756.9,0.715034,1.04614,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343196065,16.0357,16.0597,92.6759,92.6473,0.0,8757.83,0.715256,1.0461,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343208057,16.0101,16.0592,92.6466,92.6473,0.0,8758.14,0.715065,1.04613,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343220050,16.074,16.0593,92.6466,92.6472,0.0,8758.44,0.715122,1.04612,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343232063,16.1506,16.0602,92.6759,92.6478,0.0,8758.75,0.715473,1.04606,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343244061,16.074,16.0604,92.6173,92.6472,0.0,8759.06,0.715526,1.04605,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343256062,16.074,16.0605,92.6759,92.6478,0.0,8759.37,0.715578,1.04604,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343268074,15.8314,16.0582,92.6759,92.6483,0.0,8759.68,0.714696,1.04619,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343280868,15.9718,16.0573,92.7052,92.6495,0.0,8760.01,0.714364,1.04625,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343292878,16.1761,16.0585,92.6173,92.6488,0.0,8760.32,0.714821,1.04617,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343304878,16.0101,16.0581,92.7052,92.65,0.0,8760.63,0.714635,1.0462,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343316862,16.0229,16.0577,92.6173,92.6493,0.0,8760.94,0.7145,1.04623,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343328864,16.0229,16.0574,92.6466,92.6493,0.0,8761.24,0.714366,1.04625,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343340867,16.0229,16.057,92.6466,92.6492,0.0,8761.55,0.714234,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343352863,15.9335,16.0558,92.588,92.648,0.0,8761.86,0.713759,1.04635,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343364860,15.9974,16.0552,92.6466,92.648,0.0,8762.17,0.713534,1.04639,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343376863,15.9591,16.0542,92.6759,92.6485,0.0,8762.48,0.713165,1.04645,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343436878,16.0229,16.0563,92.6759,92.6484,0.0,8764.02,0.713967,1.04632,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343448862,16.0101,16.0559,92.6173,92.6477,0.0,8764.33,0.71379,1.04635,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343460876,16.2016,16.0573,92.6466,92.6477,0.0,8764.64,0.71435,1.04625,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343472861,16.0229,16.057,92.6173,92.6471,0.0,8764.95,0.714218,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343484861,16.1378,16.0578,92.6173,92.6465,0.0,8765.26,0.71453,1.04622,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343496865,16.125,16.0584,92.6466,92.6465,0.0,8765.57,0.714788,1.04618,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343508861,16.1123,16.059,92.6173,92.6459,0.0,8765.87,0.714995,1.04614,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343520859,15.8697,16.0571,92.7052,92.6471,0.0,8766.18,0.714267,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343532860,16.0357,16.0569,92.6466,92.6471,0.0,8766.49,0.714185,1.04628,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343545672,15.9974,16.0563,92.6759,92.6477,0.0,8766.82,0.713956,1.04632,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343557674,16.0229,16.056,92.7052,92.6488,0.0,8767.13,0.713828,1.04634,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343569664,16.1633,16.057,92.6759,92.6494,0.0,8767.44,0.714241,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343581659,16.0101,16.0566,92.6759,92.6499,0.0,8767.75,0.71406,1.0463,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343593668,16.0229,16.0562,92.6759,92.6504,0.0,8768.06,0.713932,1.04632,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343605704,16.074,16.0564,92.6173,92.6498,0.0,8768.37,0.714,1.04631,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343617684,16.125,16.0571,92.6759,92.6503,0.0,8768.67,0.714264,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343653757,15.9463,16.0555,92.6466,92.6501,0.0,8769.6,0.713672,1.04637,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343665668,16.1378,16.0564,92.588,92.6489,0.0,8769.91,0.713988,1.04631,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343677672,16.1889,16.0577,92.6173,92.6482,0.0,8770.22,0.714498,1.04623,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343689658,16.1506,16.0586,92.6466,92.6482,0.0,8770.53,0.714855,1.04617,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343701661,15.908,16.0571,92.6466,92.6482,0.0,8770.83,0.714275,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343713664,16.0229,16.0568,92.6173,92.6476,0.0,8771.14,0.714144,1.04629,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343725686,16.0867,16.0571,92.6173,92.6469,0.0,8771.45,0.714259,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343737701,15.9718,16.0562,92.6173,92.6464,0.0,8771.76,0.713932,1.04632,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343749658,16.1378,16.057,92.6759,92.6469,0.0,8772.07,0.714245,1.04627,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343761721,15.908,16.0555,92.6173,92.6464,0.0,8772.38,0.713673,1.04637,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343773756,16.0357,16.0553,92.6759,92.6469,0.0,8772.69,0.713596,1.04638,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343785678,16.2016,16.0568,92.7052,92.6481,0.0,8773.0,0.714159,1.04628,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343797670,15.9718,16.056,92.6466,92.6481,0.0,8773.31,0.713831,1.04634,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343809669,16.0229,16.0556,92.6173,92.6475,0.0,8773.61,0.713705,1.04636,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343821662,16.0229,16.0553,92.6759,92.648,0.0,8773.92,0.713579,1.04638,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343834456,16.1761,16.0565,92.6466,92.648,0.0,8774.25,0.714043,1.0463,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343846460,16.1761,16.0577,92.6173,92.6474,0.0,8774.56,0.714503,1.04623,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343906461,16.3293,16.0592,92.6173,92.6479,0.0,8776.1,0.715085,1.04613,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343918467,16.0867,16.0595,92.6466,92.6479,0.0,8776.41,0.71519,1.04611,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343930473,16.2272,16.0612,92.6173,92.6473,0.0,8776.72,0.715835,1.046,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343942467,15.9207,16.0598,92.6759,92.6479,0.0,8777.03,0.715295,1.04609,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343954472,16.0612,16.0598,92.6173,92.6473,0.0,8777.34,0.715301,1.04609,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343966468,16.0612,16.0598,92.6466,92.6473,0.0,8777.65,0.715306,1.04609,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343978473,16.0867,16.0601,92.6173,92.6467,0.0,8777.96,0.71541,1.04607,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
343990458,16.2144,16.0616,92.6466,92.6467,0.0,8778.26,0.716003,1.04597,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
344002460,16.2272,16.0633,92.6466,92.6467,0.0,8778.57,0.71664,1.04586,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
344014459,16.0357,16.063,92.6173,92.6461,0.0,8778.88,0.716534,1.04588,0.0,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
